208.115.113.91 - - [03/Mar/2013:01:11:23 +0400] "GET /index.php/2012-04-11-10-09-59/112-legkbal/hunter-dsp9200 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
208.115.113.91 - - [03/Mar/2013:01:11:27 +0400] "GET /index.php/2011-12-14-13-33-12/item/%D0%B1%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D1%8B%D0%B5-%D0%B3%D1%80%D1%83%D0%B7%D1%8B-clipper?category_id=48 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
208.115.113.91 - - [03/Mar/2013:01:11:30 +0400] "GET /index.php/siver/item/%D0%BA%D1%80%D1%83%D0%B3%D0%B8-%D0%BF%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BD%D1%8B%D0%B5-20-2531-1-s HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
66.249.78.129 - - [03/Mar/2013:01:36:03 +0400] "GET /index.php/2011-11-21-15-43-43/58-2011-12-14-12-25-35/hunter-pa130-dsp706------/44-hunter-pa130-dsp706 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.81 - - [03/Mar/2013:02:43:51 +0400] "GET /robots.txt HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.81 - - [03/Mar/2013:02:43:51 +0400] "GET /index.php/2011-11-21-15-43-43/58-rs/rs/hunter-pa130-dsp706/44-hunter-pa130-dsp706 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.2 - - [03/Mar/2013:02:43:52 +0400] "GET /robots.txt HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.2 - - [03/Mar/2013:02:43:53 +0400] "GET /index.php/2012-04-11-10-09-59/104-legkbal/aeat-td-dst920bn HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.81 - - [03/Mar/2013:02:53:03 +0400] "GET /index.php/2011-11-21-15-43-43/58-2011-12-14-12-25-35/hunter-pa130-dsp706------/44-hunter-pa130-dsp706 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.81 - - [03/Mar/2013:02:55:46 +0400] "GET /index.php/2012-04-11-10-09-59/104-legkbal/aeat-td-dst920bn HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.78.2 - - [03/Mar/2013:03:51:43 +0400] "GET /index.php/2012-01-20-16-51-42 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
208.115.113.91 - - [03/Mar/2013:03:51:48 +0400] "GET /robots.txt HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
66.249.78.2 - - [03/Mar/2013:04:19:52 +0400] "GET /index.php/2011-12-14-13-33-12 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
