66.249.78.81 - - [04/Mar/2013:00:54:42 +0400] "GET /index.php/2011-12-06-19-41-54/item/aet-f6010 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
208.115.113.91 - - [04/Mar/2013:01:15:48 +0400] "GET /index.php/diskopravi/item/titan-digi-pro-titan-5600?category_id=33 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
208.115.113.91 - - [04/Mar/2013:01:15:55 +0400] "GET /index.php/2012-04-11-10-09-59/108-legkbal/bright-cb-958b HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
208.115.113.91 - - [04/Mar/2013:01:16:00 +0400] "GET /index.php/home HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
37.140.141.12 - - [04/Mar/2013:01:43:10 +0400] "GET /robots.txt HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
208.115.111.75 - - [04/Mar/2013:01:52:21 +0400] "GET /robots.txt HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
217.69.133.68 - - [04/Mar/2013:01:58:28 +0400] "GET /index.php/component/content/?start=35&view=featured HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:01:58:30 +0400] "GET /index.php/component/content/?limitstart=0&view=featured HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:01:58:32 +0400] "GET /index.php/2011-12-06-19-41-54/category/%D0%BF%D0%BE%D0%B4%D1%8A%D0%B5%D0%BC%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-modena HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:01:58:35 +0400] "GET /index.php/discount HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:02:02:13 +0400] "GET /index.php/component/content/?start=5&view=featured HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:02:02:27 +0400] "GET /index.php/2012-04-11-10-09-59/113-legkbal/hunter-gsp9600 HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
66.249.78.81 - - [04/Mar/2013:02:06:56 +0400] "GET / HTTP/1.1" 200 18654 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.140.141.12 - - [04/Mar/2013:02:13:42 +0400] "GET /catalog/product/8 HTTP/1.1" 200 10632 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
37.140.141.12 - - [04/Mar/2013:02:45:56 +0400] "GET /catalog/list/8 HTTP/1.1" 200 11384 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.78.107 - - [04/Mar/2013:02:50:49 +0400] "GET /images/4%20%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B8.jpeg HTTP/1.1" 200 31543 "-" "Googlebot-Image/1.0"
208.115.111.75 - - [04/Mar/2013:03:03:24 +0400] "GET /index.php/2011-12-06-19-41-54/item/modena-mo-242cf-2?category_id=31 HTTP/1.1" 404 7983 "-" "Mozilla/5.0 (compatible; Ezooms/1.0; ezooms.bot@gmail.com)"
37.140.141.12 - - [04/Mar/2013:03:13:51 +0400] "GET /catalog/list/16 HTTP/1.1" 200 10151 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
217.69.133.68 - - [04/Mar/2013:03:33:54 +0400] "GET /index.php/siver/item/%D0%BF%D1%83%D1%82%D0%B8-%D1%8F%D0%BC%D0%BD%D1%8B%D0%B5-siver-cp-1 HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:03:33:56 +0400] "GET /index.php/2011-12-06-19-41-54/44-dvuh/t4/33-t4 HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:03:33:59 +0400] "GET /index.php/2011-12-06-19-41-54/55-dvuh/tlt-240sb-380-220-4-launch/41-tlt-240sb-380-220-4-launch HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:03:34:01 +0400] "GET /index.php/component/content/?start=20&view=featured HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:03:38:19 +0400] "GET /shared/tip_top_materials.xls HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
37.140.141.12 - - [04/Mar/2013:03:38:25 +0400] "GET /catalog/product/5 HTTP/1.1" 200 10018 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
37.140.141.12 - - [04/Mar/2013:03:38:34 +0400] "GET /catalog/list/10 HTTP/1.1" 200 11225 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
217.69.133.68 - - [04/Mar/2013:03:38:52 +0400] "GET /index.php/component/content/article/159-2011-11-23-11-32-01/2011-12-14-13-38-50/clipper-bal/132-clipper-bal HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
217.69.133.68 - - [04/Mar/2013:03:41:36 +0400] "GET /shared/x_seal_materials.xls HTTP/1.0" 404 7983 "-" "Mozilla/5.0 (compatible; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
37.140.141.12 - - [04/Mar/2013:03:42:37 +0400] "GET /catalog/list/12 HTTP/1.1" 200 10164 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
